stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/icons/foundation-icons.woff HTTP/1.0" 200 32314 "http://stefan-jaindl.com/user/themes/magnet-theme/icons/foundation-icons.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/images/header-mask/header-mask-resume.jpeg HTTP/1.0" 200 146666 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /system/assets/grav.png HTTP/1.0" 200 4447 "http://stefan-jaindl.com/system/assets/debugger.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/css/print.css HTTP/1.0" 200 1453 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/images/header-mask/header-mask-resume-me.jpeg HTTP/1.0" 200 101506 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/images/logo.png HTTP/1.0" 200 7066 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:44 +0100] "GET /user/themes/magnet-theme/img/favicon.png HTTP/1.0" 200 2061 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:12:57 +0100] "GET /projects HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:13:02 +0100] "GET /blog HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:13:08 +0100] "GET /reisen HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:16:42 +0100] "GET /reisen HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:16:48 +0100] "GET /homepage/reisen HTTP/1.0" 404 1352 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:16:53 +0100] "GET /reisen HTTP/1.0" 404 1352 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [29/Dec/2020:10:16:58 +0100] "GET /projects HTTP/1.0" 404 1352 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
